거래일,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2017-02-23,59978.10266,58115.65648,57842.82261,57833.11746,58525.51613,59892.42292,61923.88745,65083.17269,69457.72618,71504.59808,71383.72554,70008.3955,65218.07698,67635.91316,68342.71051,68008.06975,68833.05178,68463.82084,68955.72044,68176.79052,66102.68161,64232.01826,63823.60907,65345.68853
2017-02-24,61752.52082,60228.2022,59739.88021,59910.2991,60652.90598,61643.38789,63278.7235,65767.96337,70104.09761,71452.33552,70960.20767,69338.71787,65386.83397,66626.17731,67034.36484,66737.21549,67283.56895,66794.05331,67117.81334,66247.99229,64420.3079,62676.50375,62521.15259,63935.11058
2017-02-25,60376.23089,57816.80366,57250.31786,57484.92364,57952.02564,58895.49936,59438.9713,59583.27718,59956.78056,59573.6604,59524.58992,58580.82857,56176.84346,55849.04041,55525.18937,55233.67577,55387.99921,54850.97928,56763.24564,57521.55679,57208.07779,56654.01544,57482.70986,59004.10181
2017-02-26,55883.27621,53339.07703,52041.2436,51860.89892,52128.13502,52592.35648,52801.09196,52307.16181,52280.5537,52120.73433,52393.47609,52103.7605,51503.6177,50904.56001,50496.31798,50524.41488,51073.68505,51735.53372,53781.5733,55078.15526,54873.26966,54840.87643,55773.20718,56200.19162
2017-02-27,53085.96136,52159.61525,52601.14052,52906.3549,53940.99963,55926.77463,58187.52147,61810.37141,67045.3962,69172.42222,68744.0006,67305.84622,63086.05775,64326.89238,65007.76661,64528.06999,65087.88362,64775.86908,65791.77813,65330.64558,63639.30997,62025.51644,61630.58054,62854.30058
2017-02-28,59079.92608,57320.13813,56930.2323,57011.4108,57717.53276,59218.04047,61685.06644,64932.42178,68225.4042,69031.34629,67871.76592,66258.74823,62275.28191,62995.04533,63494.90849,63007.0024,63306.46487,62956.62947,63926.64809,63638.77578,62233.71848,60709.70765,60643.89592,62114.32425
2017-03-01,58723.5078,57198.45864,56540.29983,56418.31178,56794.43172,57585.35961,57968.0607,58363.63106,58909.01987,59484.24467,59846.24385,59002.26782,56077.29261,57238.49526,57902.25033,58009.08438,58666.9964,58706.98401,60144.80915,60564.4508,59934.1513,59456.99384,59820.8908,60077.15464
2017-03-02,55970.05438,53892.97523,53813.86144,53909.41223,54738.80654,56346.22945,59330.78706,63846.92295,68994.56573,71437.6726,71037.49381,69756.27341,64893.72176,66882.65674,67073.24444,66243.81193,66580.11168,66890.36922,67921.55567,67491.53657,65341.70424,63369.92208,63128.21307,63952.33189
2017-03-03,60087.2967,57837.18014,57427.37763,57651.36225,58474.2124,60034.96824,62415.8156,65073.70897,69319.2546,70207.65639,69255.05812,67549.89655,63138.64095,64225.11295,64366.17763,63908.92886,64288.32516,64241.06165,65085.1175,64965.21569,63297.85824,61631.02026,61618.75536,62542.10649
2017-03-04,59035.13939,57687.07147,56898.07382,56277.15998,56117.92274,56224.8147,56509.99312,57015.84765,58354.2264,58419.13813,58228.9405,57236.13967,54992.95103,55325.6416,55353.01063,55006.21443,54912.75405,54441.23889,55363.07149,56420.46062,56111.89305,55797.94902,56564.64661,57695.87346
2017-03-05,54511.82543,52007.72243,50595.0253,50114.5383,50678.98039,51540.65076,51984.96461,51374.06912,50959.6551,51047.49778,51574.50817,51182.65707,50715.72295,50741.0006,50918.9182,51422.56487,51674.70633,52514.30972,53919.11362,54733.64035,54657.24011,54381.72874,55055.25389,55370.77187
2017-03-06,52029.60849,50797.3467,51461.45431,52415.74655,53503.32041,55338.26755,57377.24511,60911.16098,67100.33929,69441.34549,69067.35676,67988.73695,63352.16354,65308.84504,66144.49735,65794.70421,66567.2828,67044.87116,68057.40736,67865.633,65460.08408,63747.62118,63258.44531,64128.12511
2017-03-07,59824.27969,57294.5916,56605.84365,57060.15527,58524.30723,60029.87459,62388.24189,65917.10623,70700.77367,72479.96382,72049.01858,70657.81169,65738.76183,67677.61396,68334.484,67659.39337,68425.99039,68752.17752,69596.21986,69248.99408,66869.67748,64748.88038,64146.44313,64859.26395
2017-03-08,61228.30888,59902.16761,59063.18883,58794.61179,59376.87314,60922.92074,62658.59964,66511.29485,71095.52593,72395.89918,71876.41113,70542.55928,65382.99872,67651.51894,68368.22162,67995.04285,68527.93192,68196.12355,67999.07982,67589.17693,65456.70109,63797.28012,63440.8423,64324.70236
2017-03-09,60847.28754,59085.57126,58722.65429,58936.40241,59656.60703,60897.43253,62697.57067,65405.59644,69338.591,70356.33772,69284.38743,67693.52983,62855.08897,64813.03018,65291.49277,64877.43149,65543.33922,65677.38604,66587.02784,66680.82896,64459.84979,62586.56058,62436.60481,63356.09549
2017-03-10,59415.11474,57334.03059,57285.73955,57247.4883,57894.79234,59109.34437,61006.99765,64319.43786,68416.10862,69385.47282,68333.14677,66643.20003,61709.81098,63210.23957,63592.26603,63046.5751,63335.64972,63449.09534,64166.16909,64426.75273,63244.33687,61766.13816,61686.83619,62508.45327
2017-03-11,58788.47111,56430.79154,55773.81191,56090.88894,56053.66986,56083.12746,56890.85351,57624.32695,58595.03428,58516.67229,58386.62805,57152.42056,54477.65319,55369.92124,55079.45974,54814.17038,54374.59605,54075.23646,55067.57709,56140.09124,55962.485,55694.94143,56359.82767,57447.55239
2017-03-12,54186.2441,51660.2919,50460.03543,50407.90545,50516.24689,51139.22313,51663.7774,51011.04938,50004.37468,49782.54446,50407.71375,50494.80608,50362.53162,51070.71812,51052.10921,50884.86787,50967.92047,51504.79816,52760.20864,53619.88532,53835.54907,53546.61869,54261.13993,54313.57817
2017-03-13,51069.35666,49691.85609,49659.19714,49912.22277,51420.90635,53938.178,56895.43097,59857.60594,64874.50544,66469.55668,65824.62196,64712.91818,60874.71578,62366.33273,63209.49878,62943.65874,63746.10732,63877.77048,64833.61322,65008.45203,63017.46384,61270.29434,60798.5067,61146.16282
2017-03-14,56846.3352,55119.05881,54638.02799,54676.84694,55221.54869,55785.70266,58438.6218,61859.92148,66291.73148,67017.59176,66160.44989,64986.60293,60244.64966,62626.43221,63291.1773,63075.57095,63769.03573,64186.20018,65154.29039,65545.19764,63690.30566,62057.79994,61609.01546,62108.09341
2017-03-15,57958.94511,56490.50587,56229.04562,56601.60602,57607.30174,58891.33673,61193.71453,63849.44466,66787.29991,67535.65251,66605.59627,64898.16144,60340.84965,61851.36554,62439.63759,62065.2522,62604.87998,62569.26463,63389.70188,64120.67633,62745.26178,61440.42792,61114.08228,61675.64859
2017-03-16,57737.71288,55840.62967,56022.74998,56207.63911,57317.61975,58905.7593,60551.51792,62988.07143,66592.25439,67236.39725,65958.89341,64484.61666,60008.02922,61960.01177,62784.86516,62431.08198,63186.46833,63260.51419,64202.19161,64741.85445,63181.39856,61568.38709,61248.30723,61772.60839
2017-03-17,57846.64199,56200.26559,56151.42147,56551.74103,57620.88127,59049.35612,60827.80754,62442.82887,66137.16898,66823.72994,65545.50877,63846.28856,59818.59769,61083.28558,61613.98399,61257.14406,61760.17959,61716.43941,62498.36466,63160.98651,61845.35145,60620.21508,60462.08636,61140.19743
2017-03-18,57366.51608,55301.76189,55061.93237,55029.56454,55049.14334,55105.5389,55759.88472,56062.559,57966.41538,58763.03007,58804.38677,57355.97739,54059.49046,54114.70493,54231.63636,54502.72924,53899.74132,52931.97659,53941.59926,55448.40986,55479.49001,55185.02504,55647.60819,56542.91767
2017-03-19,53301.55377,50594.56889,49351.40368,49595.53216,49865.81146,50847.85874,51339.03219,50697.72587,49463.19208,49059.09136,49356.32079,49230.6723,49429.03878,49409.92981,49273.55076,49414.64211,49890.33613,50342.97148,51480.62122,53346.98248,53476.31013,53487.14861,53960.25884,53724.78101
2017-03-20,51233.87007,50271.57902,49928.39114,50084.64899,50844.08361,52617.1787,56307.4116,59507.3352,63571.20181,65484.30193,66008.80192,65613.26823,61702.31837,64422.48986,64942.25279,64329.26744,64881.06918,64526.22359,64542.10532,64249.12829,62149.79369,60720.92342,60265.17437,60604.08892
2017-03-21,57645.46647,55810.18122,55181.57551,55146.19316,55790.55495,57122.71486,58808.70286,60813.7185,64692.4247,63897.82417,62648.13171,63065.29672,59265.75676,61467.88043,62344.13736,61872.74321,62597.30177,62863.23934,63797.90834,64636.14256,62739.31127,61053.52701,60624.92871,61198.63455
2017-03-22,56861.38496,54784.74633,54777.65317,55031.26167,55802.76279,57317.49192,59321.98279,62223.03139,65442.97403,66354.49526,65366.27256,63906.44141,59752.02711,61228.60641,62063.47974,61813.14626,62476.51504,62105.50644,62521.50147,62851.77787,61465.88081,60212.27997,59695.48347,59891.7917
2017-03-23,55625.4885,54562.60418,54690.35559,54802.63277,55244.80128,56608.30164,58089.09003,60776.9848,64705.8644,65961.56696,65000.73276,63354.48242,59505.35373,61057.27224,61558.3363,61037.55515,61705.70124,61409.44711,62266.81536,63137.35808,61619.09706,60282.16947,59830.7171,60152.58902
2017-03-24,55984.37823,53694.1904,53623.21158,53803.26557,55365.37125,57633.797,59329.60335,61482.03995,64591.85084,65616.31213,64850.51534,63497.86989,59243.98517,61426.45513,62137.41549,61733.80151,61998.3974,61561.52799,61820.37181,62115.10214,60638.7482,59267.24411,59092.38405,59509.99266
2017-03-25,55846.62053,54233.79644,53845.31059,53862.03613,54294.65475,54459.45737,54863.87536,55621.10744,56337.43965,57191.54045,57800.33241,57330.87241,54736.33901,55540.36562,55304.82838,54605.15632,54110.21243,53295.30972,54241.19941,55538.64675,55271.01213,54595.49292,55306.88363,56120.59034
2017-03-26,52524.99754,50397.6412,49794.20743,49729.26665,49901.52381,49710.259,49656.83229,49299.10061,49152.40685,48467.35826,48563.85288,48482.05494,48683.88494,48995.00021,48573.44854,48795.17312,49404.91371,50177.05742,51965.56004,53568.94875,53473.17978,53088.12636,53576.92279,53565.81502
2017-03-27,50245.34011,48987.14488,49114.5906,49619.63304,50807.86725,53038.09764,55984.92695,59896.92773,64173.01307,66432.37692,66128.59546,65194.84021,61584.67923,64021.74041,64601.42341,64575.3466,65121.78957,64381.24664,64051.75467,64472.32116,62646.41027,61154.22742,60716.44721,61025.88304
2017-03-28,56820.4732,55285.98095,54951.66927,55135.28236,55874.78822,57243.16382,59344.82407,61274.05894,65217.07951,66176.54927,65141.21341,63668.01896,59258.18863,61149.36734,62173.90406,62181.70889,63210.27417,63203.8453,63457.23056,63947.43884,62141.26797,60364.82211,59907.26602,60133.48472
2017-03-29,55922.08832,54488.87343,54422.87165,54489.74831,55339.83862,57007.3371,58805.37046,60681.27771,65048.54558,66305.13134,65693.3849,64675.91532,60186.60678,62618.84401,63289.65355,62896.98811,63112.46861,62309.78204,62211.50056,62783.32261,61397.67195,60228.55496,59854.87651,60026.24767
2017-03-30,55914.40632,53937.56159,53820.8099,53937.86877,54667.90646,56502.95304,58196.025,60187.11818,63830.89401,64342.79732,63282.55605,61792.28652,58295.8859,59941.30332,60597.84539,60318.49083,60985.18151,60939.28341,61385.87165,62181.05449,60857.27106,59408.3594,58918.84446,58974.46965
2017-03-31,54928.39198,53587.20618,53422.17041,53225.60732,53653.61142,55337.24991,56812.46486,59615.26621,63954.87652,65176.01162,64747.5842,64033.23882,60753.26978,63246.27036,63827.34891,63430.54354,63563.03946,62734.52397,62036.22503,61899.91648,60432.77886,59136.77319,58873.72808,59507.99899
